process_order,repetition_order,repetition,layout,cache_bytes,cache_mib,read_ahead_frames,read_ahead_seconds,direction,direction_order_index,deadline_miss_rate,post_warmup_deadline_miss_rate,presentation_misses,page_read_p95_ms,queue_delay_p95_ms,late_completion_p95_ms,file_reads,file_bytes,tensorstore_cache_hits,tensorstore_cache_misses,tensorstore_cache_evictions,peak_concurrent_field_reads,scheduler_promotions,scheduler_cancellations,speculative_pages,useful_speculative_pages,useful_speculative_ratio,presentation_cache_evictions,presentation_cache_peak_bytes,peak_rss_bytes
26,10,001,hybrid,33554432,32.0,700,1.0,forward,1,0.0,0.0,0,5.135708,1.716792,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43794432
26,10,001,hybrid,33554432,32.0,700,1.0,reverse,0,0.0,0.0,0,0.728792,0.618042,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43761664
27,11,001,hybrid,33554432,32.0,350,0.5,forward,1,0.0,0.0,0,0.852,0.385333,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43401216
27,11,001,hybrid,33554432,32.0,350,0.5,reverse,0,0.0,0.0,0,0.945125,0.243042,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43384832
28,12,001,hybrid,33554432,32.0,0,0.0,forward,1,0.0,0.0,0,0.676125,0.077,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43597824
28,12,001,hybrid,33554432,32.0,0,0.0,reverse,0,0.0,0.0,0,0.616208,0.067583,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43581440
29,13,001,hybrid,16777216,16.0,700,1.0,forward,1,0.0,0.0,0,0.854416,1.125583,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43761664
29,13,001,hybrid,16777216,16.0,700,1.0,reverse,0,0.0,0.0,0,0.762,0.497208,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43679744
30,14,001,hybrid,16777216,16.0,350,0.5,forward,1,0.0,0.0,0,0.779958,1.026958,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,42778624
30,14,001,hybrid,16777216,16.0,350,0.5,reverse,0,0.0,0.0,0,0.690042,0.2955,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,42745856
31,15,001,hybrid,16777216,16.0,0,0.0,forward,1,0.0,0.0,0,0.684167,0.107667,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43859968
31,15,001,hybrid,16777216,16.0,0,0.0,reverse,0,0.0,0.0,0,0.50975,0.123291,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43843584
32,0,002,hybrid,33554432,32.0,0,0.0,forward,0,0.0,0.0,0,0.770333,0.089708,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,42565632
32,0,002,hybrid,33554432,32.0,0,0.0,reverse,1,0.0,0.0,0,0.719167,0.07275,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,42614784
33,1,002,hybrid,33554432,32.0,350,0.5,forward,0,0.0,0.0,0,0.623125,0.201875,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43761664
33,1,002,hybrid,33554432,32.0,350,0.5,reverse,1,0.0,0.0,0,1.058959,0.606,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43778048
34,2,002,hybrid,33554432,32.0,700,1.0,forward,0,0.0,0.0,0,0.77825,0.403625,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43614208
34,2,002,hybrid,33554432,32.0,700,1.0,reverse,1,0.0,0.0,0,0.849209,3.331333,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43646976
35,3,002,hybrid,67108864,64.0,0,0.0,forward,0,0.0,0.0,0,1.2715,0.131416,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43417600
35,3,002,hybrid,67108864,64.0,0,0.0,reverse,1,0.0,0.0,0,1.356625,0.096625,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43433984
36,4,002,hybrid,67108864,64.0,350,0.5,forward,0,0.0,0.0,0,0.794,0.177291,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43761664
36,4,002,hybrid,67108864,64.0,350,0.5,reverse,1,0.0,0.0,0,0.585667,0.8215,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43778048
37,5,002,hybrid,67108864,64.0,700,1.0,forward,0,0.0,0.0,0,0.608375,0.4735,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43745280
37,5,002,hybrid,67108864,64.0,700,1.0,reverse,1,0.0,0.0,0,0.771708,2.675917,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43778048
38,6,002,hybrid,134217728,128.0,0,0.0,forward,0,0.0,0.0,0,0.928916,0.109958,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43712512
38,6,002,hybrid,134217728,128.0,0,0.0,reverse,1,0.0,0.0,0,0.663458,0.111667,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43745280
39,7,002,hybrid,134217728,128.0,350,0.5,forward,0,0.0,0.0,0,0.726791,0.18925,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43679744
39,7,002,hybrid,134217728,128.0,350,0.5,reverse,1,0.0,0.0,0,0.606416,0.396875,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43696128
40,8,002,hybrid,134217728,128.0,700,1.0,forward,0,0.0,0.0,0,1.988542,0.52925,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,42729472
40,8,002,hybrid,134217728,128.0,700,1.0,reverse,1,0.0,0.0,0,0.706833,1.870917,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,42762240
41,9,002,hybrid,0,0.0,0,0.0,forward,0,0.0,0.0,0,2.6385,0.09525,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,35553280
41,9,002,hybrid,0,0.0,0,0.0,reverse,1,0.0,0.0,0,12.791042,0.095917,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,35618816
42,10,002,regular,134217728,128.0,0,0.0,forward,0,0.0,0.0,0,1.426709,0.332875,0.0,3,603167,147,3,0,3,0,0,0,0,0.0,18,53760,45694976
