repetition,cache_bytes,cache_mib,layout,mode,workload,pass_index,cache_condition,requested_units,selected_instance_rows,logical_bytes,read_ms,wall_ms,p50_unit_ms,p95_unit_ms,max_unit_ms,storage_frames_per_second,file_reads,file_batch_reads,file_bytes,cache_hits,cache_misses,cache_evictions,value_digest
000,134217728,128.0,regular,full,random_frames_contract,0,workload_first_pass_shared_process_cache,128,128,8704,2012.7116330000017,2013.759375,0.20616600000000002,146.713416,301.18662700000004,,50,50,21265717,974,50,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
000,134217728,128.0,regular,full,random_frames_contract,1,workload_immediate_repeat_shared_process_cache,128,128,8704,18.65194300000004,19.129083,0.13475,0.201919,0.27671,,0,0,0,1024,0,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
000,134217728,128.0,regular,full,random_frames_ui,0,workload_first_pass_shared_process_cache,128,128,3072,953.2185939999997,953.845083,0.055833,44.767333,123.8355,,28,23,4823302,356,28,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
000,134217728,128.0,regular,full,random_frames_ui,1,workload_immediate_repeat_shared_process_cache,128,128,3072,5.267383,5.398,0.039999,0.047292,0.049958,,0,0,0,384,0,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
000,134217728,128.0,regular,full,random_ranges_contract,0,workload_first_pass_shared_process_cache,64,2048,139264,147.0231719999999,147.740125,0.113208,0.36333400000000005,137.91145699999998,,5,5,116100,507,5,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
000,134217728,128.0,regular,full,random_ranges_contract,1,workload_immediate_repeat_shared_process_cache,64,2048,139264,14.186782,15.23625,0.20779300000000003,0.300044,0.692791,,0,0,0,512,0,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
000,134217728,128.0,regular,full,sequential_contract_forward,0,workload_first_pass_shared_process_cache,1698,1187087,80721916,122.28912800000025,288.090625,0.07141700000000001,0.078125,0.135998,9714682.077052651,0,0,0,13659,0,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
000,134217728,128.0,regular,full,sequential_contract_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,80721916,119.40684300000095,284.48675,0.069916,0.075292,0.113876,9949178.540797621,0,0,0,13659,0,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
000,134217728,128.0,regular,full,sequential_ui_forward,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,102.27591500000018,174.797083,0.02825,0.052875000000000005,27.465166,11615637.953471234,0,0,0,5120,0,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
000,134217728,128.0,regular,full,sequential_ui_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,45.88306500000015,104.748917,0.026791000000000002,0.029958000000000002,0.060918,25891905.869845357,0,0,0,5120,0,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
